"volid"	"filename"	"title"	"enumcron"	"year"
"mdp.39015078261586"	"brd"	"Book Review Digest"	"(v.66 1970)"	1970
"mdp.39015078261594"	"brd"	"Book Review Digest"	"(v.67 1971)"	1971
"mdp.39015078261610"	"brd"	"Book Review Digest"	"(v.68 1972)"	1972
"mdp.39015078261628"	"brd"	"Book Review Digest"	"(v.69 1973)"	1973
"mdp.39015078261636"	"brd"	"Book Review Digest"	"(v.70 1974)"	1974
"mdp.39015078261685"	"brd"	"Book Review Digest"	"(v.71 1975)"	1975
"mdp.39015078261693"	"brd"	"Book Review Digest"	"(v.72 1976)"	1976
"mdp.39015078261701"	"brd"	"Book Review Digest"	"(v.73 1977)"	1977
"mdp.39015078261719"	"brd"	"Book Review Digest"	"(v.74 1978)"	1978
"mdp.39015078261727"	"brd"	"Book Review Digest"	"(v.75 1979)"	1979
"mdp.39015078261735"	"brd"	"Book Review Digest"	"(v.76 1980)"	1980
"mdp.39015078261743"	"brd"	"Book Review Digest"	"(v.77 1981)"	1981
"mdp.39015078261750"	"brd"	"Book Review Digest"	"(v.78 1982)"	1982
"mdp.39015078261768"	"brd"	"Book Review Digest"	"(v.79 1983)"	1983
"mdp.39015078261792"	"brd"	"Book Review Digest"	"(v.81 1985)"	1985
"mdp.39015078261800"	"brd"	"Book Review Digest"	"(v.82 1986)"	1986
"mdp.39015078261818"	"brd"	"Book Review Digest"	"(v.83 1987)"	1987
"mdp.39015078261826"	"brd"	"Book Review Digest"	"(v.84 1988)"	1988
"mdp.39015021469237"	"brd"	"Book Review Digest"	"(1989)"	1989
"mdp.39015078261842"	"brd"	"Book Review Digest"	"(v.88 1992)"	1992
"mdp.39015078261859"	"brd"	"Book Review Digest"	"(v.89 1993)"	1993
"mdp.39015078261883"	"brd"	"Book Review Digest"	"(v.92 1996)"	1996
"mdp.39015078261891"	"brd"	"Book Review Digest"	"(v.93 1997)"	1997
"mdp.39015078261925"	"brd"	"Book Review Digest"	"(v.96 2000)"	2000
"mdp.39015078261933"	"brd"	"Book Review Digest"	"(v.97 2001)"	2001
"mdp.39015078320382"	"brd"	"Book Review Digest"	"(2007)"	2007
"pst.000031220088"	"brd"	"Book Review Digest"		"index"
"mdp.39015078261602"	"brd"	"Book Review Digest"	"(1967-1971 index)"	"index"
"uc1.32106020065162"	"brd"	"Book Review Digest"		"index"
"uiug.30112013681686"	"brd"	"Book Review Digest"	"(v.17 (Index)(1921-1922))"	"index"
"mdp.39015078261677"	"brd"	"Book Review Digest"	"(1905-1974 index v.4)"	"index1905-74"
"mdp.39015078261644"	"brd"	"Book Review Digest"	"(1905-1974 index v.1)"	"index1905-74"
"mdp.39015078261669"	"brd"	"Book Review Digest"	"(1905-1974 index v.3)"	"index1905-74"
