author	date	titlewords
wilder, robert	1943	herbert drawings informal stein reporter diary
wilder, robert	1950	tomorrow
wilder, robert	1948	feather
wilder, robert	1942	flamingo
gregg, cecil freeman	1932	(being hurries life)
gregg, cecil freeman	1932	solution
gregg, cecil freeman	1930	murder
cabell, james branch	1927	fig-leaves
cabell, james branch	1938	counting common-sense illustrated
cabell, james branch	1923	disenchantment
cabell, james branch	1949	fatted devil's
cabell, james branch	1920	shirking cords vanity
cabell, james branch	1935	interlude sylvan smith
cabell, james branch	1919	introd walpole
cabell, james branch	1921	appearances figures
crofts, freeman wills	1930	journey magill's
crofts, freeman wills	1931	channel
crofts, freeman wills	1933	earle
crofts, freeman wills	1942	chalfont
crofts, freeman wills	1934	wilful premeditated
crofts, freeman wills	1925	murder groote
crofts, freeman wills	1937	floating
crofts, freeman wills	1927	ponson
crofts, freeman wills	1935	nornes
crofts, freeman wills	1934	solent
cournos, john	1930	grandmother martin murdered
cournos, john	1927	tragi-comedy o'flaherty
cournos, john	1930	wandering samovar]
cournos, john	1929	soviet russia stories compiled translated
cournos, john	1922	babel
cournos, john	1924	candide
gibbs, wolcott	1931	commander pictures robin bruton christopher
gibbs, wolcott	1946	season pleasures
gibbs, wolcott	1937	irvin neuroses illustrations
weill, blanche c. (blanche california)	1941	consultant children's stories psychologist
wolfert, ira	1945	american guerrilla philippines
wolfert, ira	1943	tucker's
wagenknecht, edward	1945	wallace morgan illustrated christmas edited stories
wagenknecht, edward	1949	tales murder gaslight victorian
wagenknecht, edward	1945	romance
cunliffe, john william	1930	readings annotated novel,selected
gill, frances	1935	mantel woman's pioneer dusts chloe
grafton, c. w. (cornelius warren)	1944	butcher
grafton, c. w. (cornelius warren)	1947	nagel christopher
geijerstam, gosta af	1938	joran (another norwegian gøsta storevik translated summer) birkeland
korolenko, vladimir galaktionovich	1919	birds manning clarence augustus
korolenko, vladimir galaktionovich	1916	makar's marian dream
woollcott, alexander	1935	reader realms bypaths
woollcott, alexander	1943	marine forces portable armed american edited merchant poetry prose assembled
graf, oskar maria	1940	novel biographical
walling, robert alfred john	1936	slippers crimson
walling, robert alfred john	1935	pyjamas
walling, robert alfred john	1932	murder midnight
walling, robert alfred john	1931	stroke
grooch, william stephen	1939	pilot clipper crate pioneer musick
kendall, oswald	1916	connor romance martin
gregory, jackson	1938	wandering powder smoke
gregory, jackson	1918	trouble maker tenney johnson joyous frank frontispiece
gregory, jackson	1938	sundown marshal
gregory, jackson	1938	mysterious rancho
gregory, jackson	1934	courage
gregory, jackson	1917	breed
gregory, jackson	1932	riders border across
gregory, jackson	1935	adventure
gregory, jackson	1933	shadow
gregory, jackson	1922	whisper everlasting
gregory, jackson	1935	lords coast
gregory, jackson	1925	romance mountain
gregory, jackson	1928	redwood
gregory, jackson	1930	paradise trail
gregory, jackson	1933	savoy
couperus, louis	1923	comedians
couperus, louis	1920	inevitable
couperus, louis	1921	majesty
couperus, louis	1917	teixeira souls mattos alexander twilight translated couperous
grayson, charles	1936	anthology
conrad, joseph	1924	tales shorter
conrad, joseph	1924	suspense napoleonic novel
conrad, joseph	1917	confession
forester, c. s. (cecil scott)	1950	randall
forester, c. s. (cecil scott)	1942	novels rifleman foreword doren peninsular
forester, c. s. (cecil scott)	1948	forest
forester, c. s. (cecil scott)	1939	horatio hornblower
forester, c. s. (cecil scott)	1935	african
forester, c. s. (cecil scott)	1934	peacemaker
forester, c. s. (cecil scott)	1927	wonderful
fisher, dorothy canfield	1950	independence doremus
fisher, dorothy canfield	1950	revere norman minute
fisher, dorothy canfield	1949	four-square
