author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Wylde Katharine	B8590	{6825354, 9040996}		{'nyp.33433074945613'}	{'English fiction'}	Lady Julias emerald	1908
Luther Mark Lee	B4949	{8892488, 6774950}		{'uc2.ark+=13960=t2w37p16q'}		The henchman	1902
Laffan De Courcy Mrs	B4804	{8543808}	{'Dime novels'}	{'nyp.33433074873211'}	{'Foundlings'}	Aunt Hepsys foundling  a novel	1887
Deeping Warwick	B2225	{8925599}		{'nyp.33433074958723'}		Mad Barbara	1908
Fraser Hugh Mrs	B2737	{3264992}		{'nyp.33433074854088'}	{'Social life and customs', '1868-1912'}	The custom of the country tales of new Japan	1899
Beerbohm Max Sir	B856	{6784694}		{'uc2.ark+=13960=t12n5604j'}		The happy hypocrite	1915
Taylor Ann Martin Mrs	B8130	{5156149}		{'nyp.33433076080617'}	{'American fiction'}	Retrospection a tale	1822
Williamson William Henry	B8636	{6849440, 8920990}		{'nyp.33433075772578'}	{'English fiction'}	The princes marriage	1908
QuillerCouch Arthur Thomas Sir	B6849	{3162461}		{'uc2.ark+=13960=t47p96h12'}		The delectable duchy	1893
Murdoch David	B6060	{4452143}		{'nyp.33433076060874'}		The Royalists daughter and the	1861
Black William	B434	{8950977, 3173323, 6493493, 8700999}		{'mdp.39015063748696', 'mdp.39015063748688', 'mdp.39015063748704'}	{'Scottish authors', 'English fiction'}	The strange adventures of a ho	1888
Meredith George	B5939	{6614529, 8789641}		{'mdp.39015066325534'}		One of our co	1909
Kipling Rudyard	B4517	{2459981}		{'mdp.39076006767078', 'uc1.b3325421'}		Debits and credits	1909
Wells David Dwight	B8669	{6768382}		{'nyp.33433076074073'}		Her ladyships elephant	1898
Devereux W A	B2323	{6695244}		{'uc2.ark+=13960=t21c1wx6k'}	{'Raleigh, Walter', 'Great Britain', 'History', '1552?-1618', 'Elizabeth, 1558-1603'}	Sir Walter Ralegh	1909
Merrick Leonard	B5522	{8849153, 3169642}		{'nyp.33433074971403'}	{'English fiction'}	The actormanager	1898
Chambers Robert W Robert William	B1972	{3157365}		{'inu.30000111816496'}		The king in yellow and other h	1933
Burnett Frances Hodgson	B360	{8808160, 8923632, 3153534}		{'mdp.39015013709871'}		The one I knew the best of all a memory of the mind of a child	1893
Reade Charles	B7102	{9436673}		{'uc2.ark+=13960=t6057nm0r'}		Griffith Gaunt or Jealousy	1870
Murray David Christie	B5826	{3154958}		{'uiuo.ark+=13960=t8gf1c96p', 'uiuo.ark+=13960=t0ns19x0t', 'uiuo.ark+=13960=t43r1f081'}		A rising star	1894
Holland Clive	B3704	{6786002}		{'nyp.33433074870209'}		Marcelle of the quarter	1900
Benson E F Edward Frederick	B771	{6783661, 3171990}		{'uc1.$b792395'}		Scarlet and hyssop  a novel	1902
Miller J Joaquin	B6016	{3165502}		{'dul1.ark+=13960=t1wd4jf83'}		The building of the city beaut	1893
Jameson Anna Mrs	B4463	{8769235}		{'uc1.b3546903'}		Visits and sketches at home an	1834
Escott T H S	B2656	{6777583}		{'uc2.ark+=13960=t6sx6503p'}		A trip to Paradoxia and other 	1899
Gleig G R George Robert	B3205	{6136559}		{'uc1.b3322523', 'uiuo.ark+=13960=t83j3v78x', 'uc1.b3322525'}		Allan Breck	1834
Steel Flora Annie Webster	B7680	{6806200, 3160573, 8844031}	{'History'}	{'uc2.ark+=13960=t43r1751d'}	{'Sepoy Rebellion, 1857-1858', '(OCoLC)fst01354766', 'Delhi', '(OCoLC)fst01205766', 'Siege of Delhi (India : 1857)', '1857', 'Siege, 1857', 'India', 'History'}	On the face of the waters	1897
