author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Saint Leger Savile Randolph Evelyn	B7516	{6813458}		{'nyp.33433075873509'}		The shape of the world	1912
Galsworthy John	B2993	{6842268, 8892862}		{'mdp.39015003681775'}		The silver spoon	1926
Caine Hall Sir	B1880	{6724682}		{'wu.89090340506'}		The deemster A romance of the Isle of Man	1887
Rowcroft Charles	B7250	{4702248, 4445474}		{'uiuo.ark+=13960=t3805qj0v', 'uiuo.ark+=13960=t43r1gv75', 'uiuo.ark+=13960=t5fb5pp94'}		Tales of the colonies or The a	1843
Trollope Anthony	B8289	{8517588, 8693422}		{'mdp.39015005863082', 'mdp.39015002619719'}		The Eustace diamonds by Anthon	1882
Phillpotts Eden	B6746	{3212743}		{'wu.89007383862'}		The flint heart a fairy story	1910
Doyle Arthur Conan Sir	B2296	{8849216}	"{""Publishers' advertisements""}"	{'mdp.39015019999278', 'uc1.b3578479'}		The tragedy of the Korosko The	1898
James Henry	B4473	{6649418}		{'uc1.b3339604'}		d ser A passionate pilgrim Ros	1885
Ross Albert	B7049	{6806782}		{'uc2.ark+=13960=t0gt5gp3h'}		A sugar princess	1900
Chambers Robert W Robert William	B1768	{9323046}		{'uc2.ark+=13960=t6b27qm90'}		The green mouse	1910
Dawson Warrington	B2441	{9441317, 6822295}		{'nyp.33433043877517', 'nyp.33433081638284'}		The scar	1906
Scott Walter Sir	B7679	{4981940}		{'uc2.ark+=13960=t43r0tc3q'}		Readings for the young	1832
Trowbridge J T John Townsend	B8064	{9431027, 8780910}	{'Historical fiction', 'Juvenile audience', 'Bibliographies', 'War stories'}	{'nc01.ark+=13960=t0ns17x5d'}	{'Abolitionists', 'Quakers', 'Unionists (United States Civil War)', 'Fugitive slaves', 'Civil War, 1861-1865', 'History'}	Cudjos cave	1863
Lewis John Delaware	B4948	{8489887}		{'uc2.ark+=13960=t2t43xh63'}		Sketches of Cantabs	1849
Holmes Oliver Wendell	B3640	{8801480}		{'nnc1.cu11710233', 'nnc1.cu11710497', 'nnc1.cu11710500', 'nnc1.cu11710250'}		The writings of Oliver Wendell Holmes in thirteen volumes	1891
Sienkiewicz Henryk	B7858	{8848985}		{'uc1.b4795729', 'uc1.b4795728'}		The deluge  an historical nove	1891
Reid Mayne	B7158	{9431589, 2877966}		{'uiuo.ark+=13960=t80k3088f', 'uiuo.ark+=13960=t2c82x47m', 'uiuo.ark+=13960=t95721n6t'}	"{""Children's stories, English""}"	Lost Lenore or The adventures of a rolling stone	1864
Challice Annie Emma	B1963	{8628033, 5009459}		{'njp.32101063605404', 'njp.32101063605396'}		The Sister of Charity or From 	1857
Bunyan John	B1143	{4854447}		{'loc.ark+=13960=t1bk1w50d'}		Young peoples Pilgrims progres	1688
pseud Richardson Henry Handel	B9137	{6839471, 9325199}		{'mdp.39015002715061'}		The getting of wisdom	1910
Strickland Jane Margaret	B7498	{8733381}		{'nyp.33433075753685'}	{'English fiction', 'Jews'}	Adonijah  a tale of the Jewish dispersion	1856
