author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Willoughby George	B8635	{9087586, 9104510}		{'nyp.33433075772529'}	{'English fiction'}	The adventures and other stories	
Ainsworth William Harrison	B81	{8484348}		{'nyp.33433074945035'}	{'English fiction', 'Charles', 'King of England', '1600-1649'}	The Spanish match or Charles Stuart at Madrid	
Tayler Charles B Charles Benjamin	B8127	{6139658, 4712414}		{'nyp.33433075768980'}	{'English fiction'}	Social evils and their remedy	
Montgomery Florence	B5483	{8661258}		{'nyp.33433074902317'}	{'English fiction'}	Peggy and other tales	
Perrin Alice	B6546	{6778426, 9285285}		{'nyp.33433075766331'}	{'English fiction'}	The waters of destruction	
Aguilar Grace	B84	{8243708}		{'nyp.33433074945928'}	{'English fiction'}	The mothers recompense  a sequel to Home influence  by Grace Aguilar	
Lee Albert	B4819	{8988976}		{'nyp.33433074877790'}	{'English fiction', 'Wars of Independence, 1556-1648', 'History'}	King Stork of the Netherlands a romance of the early days of the Dutch republic	
James G P R George Payne Rainsford	B4299	{8634664}		{'nyp.33433074869078'}	{'English fiction'}	Leonora dOrco  a historical ro	
Gore Catherine Grace Frances Mrs	B2977	{4984251}		{'inu.30000001664782'}	{'English fiction'}	Castles in the air  a novel	
Jacks L P Lawrence Pearsall	B4378	{3221566}		{'uc2.ark+=13960=t6nz83c5m'}	{'English fiction'}	The legends of Smokeover	
Manning Anne	B5455	{4852333}		{'nyp.33433074895420'}	{'English fiction'}	Selvaggio a tale of Italian country life	
Payn James	B6518	{8508466}		{'nyp.33433075749527'}	{'English fiction'}	A county family	
Marryat Frederick	B5581	{6105857, 8436873, 8784999}		{'uc1.$b250174', 'uc1.$b250173', 'uc1.$b250172'}	{'English fiction'}	Japhet in search of a father	
Wood Ellen	B8606	{4855546}		{'nyp.33433075762322'}	{'English fiction'}	Elsters folly	
Norton Caroline Sheridan	B6124	{8756916}		{'nyp.33433074968995'}	{'English fiction'}	Old Sir Douglas	
