author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Tolstoy Leo graf	B8018	{6827341}	{'Historical fiction', 'Bibliographies', 'Novel', 'War stories', 'Mixed'}	{'mdp.49015002161447', 'uc2.ark+=13960=t4dn4987c', 'mdp.49015002161439', 'inu.30000117261895', 'uc2.ark+=13960=t7dr30v87', 'uc2.ark+=13960=t4jm2dv6w', 'mdp.49015002161462', 'mdp.49015001306464', 'uc2.ark+=13960=t7fr04h6m', 'mdp.49015002161470'}	{'Translations into English', 'Soviet Union', 'Alexander I, 1801-1825', 'Campaigns', 'Napoleon', '1769-1821', 'Russian fiction', 'Translations', 'Invasion of Russia, 1812', 'Napoleonic Wars, 1800-1815', 'Russia', 'English fiction', 'History', 'Emperor of the French'}	War and peace	
Mundy Talbot	B5256	{3210732}	{'War stories', 'History', 'Historical fiction', 'Love stories'}	{'mdp.39015009020440'}	{'Sepoy Rebellion, 1857-1858', 'India', 'History', 'British'}	Kingof the Khyber rifles a romance of adventure	
Hornung E W Ernest William	B3998	{3220460}		{'wu.89100091156'}	"{'War work', 'Personal narratives', ""Young Men's Christian associations"", 'World War, 1914-1918'}"	Notes of a campfollower on the western front	
Disraeli Benjamin Earl of Beaconsfield	B2382	{5221933}	{'Jewish fiction', 'War stories', 'Historical fiction', 'Bibliographies'}	{'uiuo.ark+=13960=t4kk9kv34', 'uiuo.ark+=13960=t1bk1nv9t', 'uiuo.ark+=13960=t5n87jj5p'}	{'Second, 1147-1149', 'Crusades', 'Jews', 'Islam', 'Relations', 'Messianism', 'Latin Kingdom, 1099-1244', 'Princes', 'Judaism', '70-1789', 'History'}	The wondrous tale of Alroy	
Köppen Edlef	B4592	{3219712}		{'uc1.$b313030'}	{'World War, 1914-1918'}	Higher command	
Mure A H	B5731	{3185443}		{'uc2.ark+=13960=t4bp01n2s'}	{'Regimental histories', 'Army', '29th Division', 'World War, 1914-1918', '5th Battalion', 'Royal Scots', 'Great Britain'}	With the incomparable 29th	
Marryat Frederick	B5218	{4695032, 6144746}	{'Bibliographies', 'ContainsBiogMaterial'}	{'hvd.hwkpy9'}	{'Young men', '19th century', 'Midshipmen', 'Napoleonic Wars, 1800-1815', 'History, Naval', 'English fiction'}	Mr Midshipman Easy	
Gresley W William	B3035	{8232383}		{'mdp.39015063553161'}	{'Puritan Revolution, 1642-1660', 'History'}	The siege of Lichfield a tale illustrative of the great rebellion	
Barrie J M James Matthew	B504	{3205230}		{'njp.32101067629368'}	{'World War, 1914-1918', 'Drama'}	The old lady shows her medals	
Orczy Emmuska Orczy Baroness	B6373	{3176017, 8916058}		{'wu.89001431436'}	{'Revolution, 1789-1799', 'History'}	The elusive pimpernel	
Parrish Randall	B6650	{9282476}		{'uc2.ark+=13960=t3319sj8v'}	{'United States', 'History', 'Civil War, 1861-1865'}	My lady of the North	
Bowen Marjorie	B625	{6839361, 8943361}		{'nyp.33433074929252'}	{'James', 'King of England', 'Revolution of 1688', 'II', '1633-1701', 'Great Britain', 'History'}	God and the king	
MacGill Patrick	B5765	{2437101}		{'uc2.ark+=13960=t5t72ct3j'}	{'World War, 1914-1918'}	The brown brethren	
Nieritz Gustav	B6188	{4449811}	"{'Juvenile audience', 'Novel', 'Pictorial cloth bindings (Binding)', ""Publishers' catalogues""}"	{'wu.89093089530'}	{'Filial piety', 'Juvenile literature', 'Napoleonic Wars, 1800-1815', 'Campaigns', 'Russia'}	The little drummer or Filial affection  a story of the Russian campaign	
Chesnutt Charles W Charles Waddell	B1424	{8902136}		{'nc01.ark+=13960=t50g4wj3w'}	{'North Carolina', 'Economic conditions', 'Race relations', 'Veterans', 'United States', 'Racism', 'Southern States', 'City and town life', 'Civil War, 1861-1865', 'Failure (Psychology)', 'Rich people', 'African Americans', 'Social conditions', 'History'}	The colonels dream	
Dehan Richard	B2202	{8979108}		{'nyp.33433074859236'}	{'Franco-Prussian War, 1870-1871'}	The man of iron	
Banim John	B1169	{5124430, 8920550}	{'War stories', 'Historical fiction'}	{'wu.89087923983', 'wu.89087924015'}		The croppy A tale	
Crockett S R Samuel Rutherford	B1866	{8985514, 6746229}		{'uva.x001606706'}	{'History', 'Carlist War, 1833-1840'}	The firebrand	
Connelly Celia Logan	B1451	{4845090, 9455239}		{'njp.32101066457753'}	{'History', 'Civil War, 1861-1865'}	The elopement a tale of the Confederate States of America	
Conrad Joseph	B1342	{9423732}	"{'Bookplates (Provenance)', 'Bibliographies', 'ContainsBiogMaterial', ""Publishers' advertisements""}"	{'inu.32000006722369'}	{'Revolutions', 'Sailors'}	Nostromo  a tale of the seaboa	
Homero	B3506	{8922201, 6785067, 9406189, 8679551}		{'ucm.532737145x', 'nyp.33433044135535', 'mdp.39015003461194'}	{'Trojan War', 'Translations into English', 'Poetry', 'Epic poetry, Greek', 'Achilles (Greek mythology)'}	The Iliad of Homer	
Gras Félix	B3189	{3169911}		{'uc1.$b254626'}	{'Revolution, 1789-1799', 'France', 'History'}	The reds of the Midi	
Altsheler Joseph A Joseph Alexander	B171	{6870733}		{'uc2.ark+=13960=t6251gr76'}	{'United States', 'History', 'Civil War, 1861-1865'}	Before the dawn	
Robinson Emma	B7039	{4980864}		{'uc1.b4104307'}	{'Civil War, 1642-1649', 'History'}	Whitehall or The days of Charles the first  an historical romance	
Maurois André	B5701	{3220589}		{'uc2.ark+=13960=t2b855v7r'}	{'World War, 1914-1918'}	The silence of Colonel Bramble	
Evans Augusta J Augusta Jane	B2596	{9458182}	"{""Publishers' bindings (Binding)"", 'United States'}"	{'uc1.b4102284'}	{'History', 'Civil War, 1861-1865'}	Macaria	
Thompson Edward John	B8146	{2451689}		{'uc1.$b312650'}	{'World War, 1914-1918'}	These men thy friends	
Daudet Alphonse	B2114	{8525829}		{'mdp.39015030778859'}	{'Franco-Prussian War, 1870-1871'}	Fromont and Risler Fromont jeune et Risler aîné	
Altsheler Joseph A Joseph Alexander	B86	{8840560, 6794467}		{'nyp.33433074946132'}	{'French and Indian War, 1755-1763', 'French and Indian war, 1755-1763', 'History'}	A soldier of Manhattan and his adventures at Ticonderoga and Quebec	
Jewett Sarah Orne	B4222	{8885426, 3171852}		{'mdp.39015010317702'}	{'Revolution, 1775-1783', 'History'}	The Tory lover	
Stevenson Robert Louis	B7310	{9213546}		{'hvd.hwe7pl'}	{'Prisoners and prisons', 'Napoleonic Wars, 1800-1815'}	St Ives being the adventures of a French prisoner in England finished by AT QuillerCouch Letters and miscellanies	
Ward James	B8608	{9019986}		{'nyp.33433075763965'}	{'February Revolution, 1848', 'History'}	Adolphe Renouard or peasant life and political clubs in France	
